0,0.97973,0.31089,-0.11036
0.05,1.1204,0.21772,-0.033011
0.1,1.1204,0.21772,-0.033011
0.15,1.1204,0.21772,0.044638
0.2,1.273,0.31089,0.044638
0.25,1.273,0.31089,0.044638
0.3,1.1204,0.31089,-0.033011
0.35,1.1204,0.31089,-0.033011
0.4,1.273,0.31089,-0.033011
0.45,1.1204,0.21772,-0.033011
0.5,1.1204,0.21772,-0.033011
0.55,1.273,0.31089,-0.033011
0.6,1.273,0.31089,-0.033011
0.65,1.4255,0.31089,-0.11066
0.7,1.4255,0.31089,-0.033011
0.75,1.4255,0.21772,-0.033011
0.8,1.273,0.12455,-0.033011
0.85,1.1204,0.31089,-0.11066
0.9,1.273,0.21772,-0.18831
0.95,1.4255,0.21772,-0.11066
1,1.8952,0.12455,0.51084
1.05,1.8832,0.12455,-0.18831
1.1,1.7307,0.12455,-0.18831
1.15,1.7307,0.12455,-0.26596
1.2,1.7307,0.031386,-0.26596
1.25,1.7307,0.031386,-0.34361
1.3,1.8832,-0.061782,-0.26596
1.35,1.8832,-0.061782,-0.18831
1.4,2.0358,0.031386,-0.11066
1.45,2.1884,-0.061782,-0.11066
1.5,2.1884,0.031386,-0.11066
1.55,2.1884,0.031386,-0.11066
1.6,2.0358,0.031386,-0.033011
1.65,2.0358,0.12455,0.044638
1.7,2.0358,0.12455,-0.033011
1.75,2.0358,0.12455,-0.18831
1.8,2.0358,0.12455,-0.18831
1.85,2.0358,0.12455,-0.11066
1.9,2.0358,0.12455,-0.033011
1.95,2.0358,0.12455,0.044638
2,0.97973,0.49723,0.51084
2.05,0.96781,0.49723,0.51053
2.1,0.96781,0.5904,0.58818
2.15,1.1204,0.5904,0.58818
2.2,1.1204,0.5904,0.51053
2.25,1.1204,0.5904,0.51053
2.3,1.1204,0.5904,0.51053
2.35,0.96781,0.5904,0.58818
2.4,0.81524,0.5904,0.58818
2.45,0.5101,0.5904,0.58818
2.5,0.5101,0.5904,0.58818
2.55,0.5101,0.5904,0.58818
2.6,0.5101,0.5904,0.66583
2.65,0.66267,0.5904,0.66583
2.7,0.66267,0.49723,0.58818
2.75,0.81524,0.49723,0.58818
2.8,0.66267,0.49723,0.58818
2.85,0.66267,0.49723,0.58818
2.9,0.5101,0.49723,0.58818
2.95,0.5101,0.49723,0.58818
3,0.52202,0.5904,0.43319
3.05,0.5101,0.5904,0.51053
